# ----------------------------------------
# Events: Event name
# Account: TeeFusion Wordpress
# Property: TeeFusion Wordpress
# ----------------------------------------
# 
# All Users
# Start date: 20250201
# End date: 20250804
Event name,Event count,Total users,Event count per active user,Total revenue
view_item_list,13754,572,24.087565674255693,0
click,11689,436,26.809633027522935,0
page_view,6897,2085,3.3095009596928984,0
gtm.dom,6572,582,11.311531841652323,0
user_engagement,5669,883,6.442045454545455,0
scroll,3538,949,3.7678381256656017,0
session_start,2607,2080,1.2563855421686747,0
first_visit,2061,2061,1.000485436893204,0
select_item,1804,263,6.859315589353612,0
gtm4wp.formElementEnter,1380,120,11.5,0
gtm4wp.formElementLeave,1194,110,10.854545454545455,0
form_start,904,368,2.4565217391304346,0
form_submit,240,23,10.434782608695652,0
begin_checkout,200,12,16.666666666666668,0
view_item,162,31,5.225806451612903,0
view_search_results,106,10,10.6,0
add_to_cart,82,23,3.5652173913043477,0
file_download,59,59,1,0
add_payment_info,52,11,4.7272727272727275,0
add_shipping_info,40,9,4.444444444444445,0
purchase,24,9,2.6666666666666665,0
gtm4wp.userRegistered,12,6,2,0
view_cart,8,2,4,0
conversion,4,2,2,0
payment-init,4,2,2,0
gtm4wp.userLoggedIn,2,1,2,0
