# ----------------------------------------
# Landing page: Landing page
# Account: TeeFusion Wordpress
# Property: TeeFusion Wordpress
# ----------------------------------------
# 
# All Users
# Start date: 20250201
# End date: 20250804
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/shop,845,811,799,19.059171597633135,4,0,0.001183431952662722
/,544,333,325,71.38970588235294,10,0,0.007352941176470588
/product-category/men,131,113,100,39.16030534351145,0,0,0
(not set),113,64,0,20.212389380530972,0,0,0
/product/oversized-t-shirt-men-acid-wash-tidy-titans,82,82,76,67.26829268292683,0,0,0
/modern-fashion-is-more-available-to-everyone-today,79,79,79,0.02531645569620253,0,0,0
/quote-post,78,78,78,0.038461538461538464,0,0,0
/favorite-playlists-to-start-your-day,75,75,75,0.6133333333333333,0,0,0
/product-category/women,38,35,31,49.78947368421053,0,0,0
/product/i-am-not-bossy-i-am-just-the-boss,24,23,19,58.75,0,0,0
/my-account,22,22,20,24.363636363636363,0,0,0
/product/im-dadman,21,21,16,69.57142857142857,2,0,0.047619047619047616
/shop/page/16,20,20,20,0,0,0,0
/team/natalie-coleman,20,20,20,0,0,0,0
/shop/page/12,15,15,15,0,0,0,0
/services/bangles,14,14,14,0.07142857142857142,0,0,0
/shop/page/14,14,14,14,0,0,0,0
,13,12,0,9.846153846153847,0,0,0
/product/oversized-t-shirt-men-villians-of-the-workplace,12,11,8,64.83333333333333,0,0,0
/product/printed-t-shirt-crop-tops-front-vacay-mode,12,7,5,26.833333333333332,0,0,0
/shop/page/15,12,12,12,0,0,0,0
/shop/page/17,11,11,11,0,0,0,0
/blog-grid,10,10,10,0,0,0,0
/portfolio-grid,10,10,10,0,0,0,0
/portfolio-metro,10,10,10,0,0,0,0
/portfolio/background-video,10,10,10,0.4,0,0,0
/portfolio/elegant-accessory-collection,10,10,10,0,0,0,0
/portfolio/fall-winter-collection,10,10,10,0,0,0,0
/portfolio/gallery,10,10,10,0,0,0,0
/portfolio/left-sidebar,10,10,10,0,0,0,0
/portfolio/right-sidebar,10,10,10,0,0,0,0
/product/oversized-t-shirt-men-hypeastro,10,7,5,47.8,2,0,0.1
/product/oversized-t-shirt-men-urban-myth,10,9,6,79.5,2,0,0.1
/product/sarcasm-just-another-free-service-i-offer,10,9,8,28,0,0,0
/shop/page/13,10,10,10,0,0,0,0
/team/christina-lee,10,10,10,0,0,0,0
/team/michelle-lewis,10,10,10,0,0,0,0
/team/rachel-gilmore,10,10,10,0,0,0,0
/about-us,9,9,7,38.77777777777778,0,0,0
/checkout,7,5,1,211.28571428571428,2,0,0.14285714285714285
/products/bumble-bee-oversized-tshirt,7,7,7,63.714285714285715,0,0,0
/product/oversized-t-shirt-men-boogie-claus,6,6,6,0,0,0,0
/product/printed-t-shirt-crop-tops-front-rolling-stone,6,6,6,69.83333333333333,0,0,0
/contact-us,5,5,2,67.8,0,0,0
/pricing-list-elementor-switcher-for-online-food-ordering,5,5,5,0,0,0,0
/product/final-hours,5,5,3,40,0,0,0
/product/i-am-not-crazy-my-mother-had-me-tested,5,4,3,51.2,0,0,0
/product/oversized-t-shirt-men-no-capes,5,4,2,185.4,0,0,0
/product/printed-t-shirt-crop-tops-dynamism,5,5,5,0,0,0,0
/product/printed-t-shirt-regular-men-disco-zombie,5,5,4,17.4,0,0,0
/product/printed-t-shirt-regular-women-taurus,5,3,3,6.4,0,0,0
/privacy-policy,4,4,4,4,0,0,0
/product-category/men/oversize-men/corporate-confessions-oversize-men,4,4,2,26.25,0,0,0
/product/oversized-t-shirt-men-beep-beep,4,4,3,0.5,0,0,0
/product/oversized-t-shirt-men-panic-room-activated,4,4,2,17.75,0,0,0
/product/oversized-t-shirt-men-the-duck-knight-rises,4,4,2,8.25,0,0,0
/product/printed-t-shirt-crop-tops-this-meeting-could-have-been-an-email,4,2,0,45.25,0,0,0
/product/printed-t-shirt-regular-women-super-girl,4,4,4,0,0,0,0
/product/printed-t-shirt-regular-women-too-lazy-to-argue,4,3,1,13.25,0,0,0
/products/printer-t-shirt-regular-men-abs,4,3,3,24.5,0,0,0
/shipping-policy,4,4,4,3.5,0,0,0
/cart-new,3,3,2,8.333333333333334,0,0,0
/checkout/order-received/59253,3,1,0,16.333333333333332,0,0,0
/lander,3,2,0,17.333333333333332,0,0,0
/product/if-monday-had-a-face,3,3,1,32,0,0,0
/product/oversized-t-shirt-men-oblivion-pulse,3,3,1,5.333333333333333,0,0,0
/product/printed-t-shirt-crop-tops-play-like-a-queen-win-like-a-boss,3,2,1,190.33333333333334,0,0,0
/product/solid-t-shirt-men-plain-white,3,3,3,4,0,0,0
/product/solid-white-regular-t-shirt-2,3,3,3,48,0,0,0
/product-category/galaxy-girls,2,2,2,0,0,0,0
/product-category/men/oversize-men,2,2,0,78,0,0,0
/product-category/men/regular-men,2,2,2,44.5,0,0,0
/product-category/smart-products-filter-index-do-not-delete,2,2,2,0,0,0,0
/product/baap-baap-hota-hai,2,2,1,151.5,0,0,0
/product/caution,2,1,0,7.5,0,0,0
/product/hard-fought-crown-hail-the-queen,2,1,0,28.5,0,0,0
/product/i-put-the-pro-in-procastinate,2,2,1,61.5,0,0,0
/product/oversized-t-shirt-men-9-to-5-is-my-cardio,2,1,0,34,0,0,0
/product/oversized-t-shirt-men-99-calm-1-catastrophic,2,2,1,7.5,0,0,0
/product/oversized-t-shirt-men-batmobile-stuck-gotham-can-wait,2,2,1,8,0,0,0
/product/oversized-t-shirt-men-ghoul,2,2,2,65,0,0,0
/product/oversized-t-shirt-men-masked-hunter,2,2,0,20.5,0,0,0
/product/oversized-t-shirt-men-merry-mixer,2,2,2,2,0,0,0
/product/oversized-t-shirt-men-my-deadlines-play-offense,2,2,0,95,0,0,0
/product/oversized-t-shirt-men-one-piece,2,1,0,92,0,0,0
/product/oversized-t-shirt-men-seeing-life-through-a-different-lens,2,1,0,12.5,0,0,0
/product/oversized-t-shirt-men-speed-racer,2,2,2,0,0,0,0
/product/oversized-t-shirt-men-superhero-fusion,2,1,1,16,0,0,0
/product/oversized-t-shirt-men-truck-slogan,2,2,1,21.5,0,0,0
/product/printed-t-shirt-crop-tops-i-run-on-coffee-and-sarcasm,2,1,0,4,0,0,0
/product/printed-t-shirt-crop-tops-neon-dreamscapes,2,2,0,207.5,0,0,0
