"Campaign name",Age,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
,,635040,878306,1.38307193,INR,33245.34,39581,0.83993179,40048,0.83013734,4.55968649,128,259.72921875,69,481.81652174,3437,2025-02-01,2025-08-04
"Add to Cart_28/06",18-24,13874,23657,1.7051319,INR,2236.71510474,510,4.38571589,852,2.62525247,3.60147102,26,86.02750403,7,319.53072925,,2025-02-01,2025-08-04
"Add to Cart_28/06",25-34,6185,10842,1.75295069,INR,1735.00788337,424,4.09199972,659,2.6327889,6.07821435,33,52.57599647,40,43.37519708,4,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",18-24,80566,119454,1.482685,INR,1594.64284986,3793,0.42041731,3610,0.44172932,3.02208381,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",25-34,83907,123129,1.4674461,INR,1551.39499322,3934,0.39435562,3742,0.41458979,3.03908909,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",55-64,14787,23839,1.61215933,INR,1523.00902642,3968,0.38382284,3897,0.39081576,16.34716221,,,,,966,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",18-24,14465,17656,1.22060145,INR,1405.18781292,380,3.69786267,440,3.19360867,2.49207068,,,,,16,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",25-34,8321,10360,1.24504266,INR,1401.10726753,319,4.39218579,371,3.77656945,3.58108108,9,155.67858528,,,26,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",45-54,15619,23214,1.48626673,INR,1320.75454779,3348,0.39449061,3311,0.39889899,14.26294477,,,,,780,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",65+,8978,16297,1.81521497,INR,1127.73072995,3056,0.36902184,3017,0.37379209,18.51260968,,,,,537,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",25-34,26224,31808,1.21293472,INR,1109.15939004,2128,0.52122152,2120,0.52318839,6.66498994,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",35-44,3504,4417,1.26055936,INR,1078.66417081,195,5.53161113,222,4.85884762,5.02603577,7,154.09488154,,,61,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",35-44,17091,22388,1.3099292,INR,1057.05567059,2499,0.42299146,2479,0.42640406,11.07289619,,,,,468,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",25-34,16259,22020,1.35432683,INR,915.62554615,2290,0.39983648,2237,0.40930959,10.15894641,,,,,339,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",18-24,28576,31302,1.09539474,INR,870.42207525,1732,0.50255316,1726,0.50430016,5.51402466,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",18-24,94509,110727,1.1716027,INR,821.15669049,692,1.18664262,687,1.19527903,0.62044488,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",35-44,19056,20945,1.09912888,INR,806.05706373,1490,0.5409779,1485,0.54279937,7.08999761,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",35-44,2056,3417,1.66196498,INR,689.40862933,174,3.96211856,228,3.02372206,6.67251975,14,49.24347352,7,98.48694705,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,25-34,3337,4140,1.2406353,INR,685.6048652,81,8.4642576,134,5.11645422,3.23671498,7,97.94355217,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",18-24,5357,6165,1.15083069,INR,571.09663459,136,4.19923996,159,3.59180273,2.57907543,2,285.5483173,,,4,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",35-44,34308,51361,1.49705608,INR,558.40289734,1416,0.39435233,1378,0.40522707,2.68296957,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",45-54,9904,12261,1.23798465,INR,546.55780936,964,0.56696868,930,0.58769657,7.58502569,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,18-24,6733,7984,1.18580128,INR,534.44954087,57,9.37630773,124,4.31007694,1.55310621,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",18-24,10642,13817,1.29834618,INR,481.6444791,1134,0.42473058,1104,0.43627217,7.99015705,,,,,172,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",18-24,7294,7613,1.04373458,INR,465.34301469,76,6.1229344,115,4.046461,1.51057402,,,,,6,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",45-54,1800,2211,1.22833333,INR,457.02108398,154,2.96766938,154,2.96766938,6.96517413,,,,,8,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",25-34,2804,3149,1.12303852,INR,443.85847254,63,7.04537258,94,4.72189864,2.98507463,,,,,15,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",25-34,3843,4144,1.07832423,INR,411.85277695,65,6.33619657,100,4.11852777,2.41312741,1,411.85277695,,,4,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",25-34,11936,13706,1.14829088,INR,402.92,95,4.24126316,153,2.63346405,1.11629943,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,18-24,523,772,1.47609943,INR,349.72,51,6.8572549,59,5.92745763,7.64248705,3,116.57333333,1,349.72,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",45-54,16383,21806,1.33101386,INR,341.25905751,780,0.43751161,747,0.45683943,3.42566266,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",55-64,6464,7458,1.15377475,INR,329.76197621,601,0.54868881,592,0.55703037,7.93778493,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",55-64,912,1254,1.375,INR,324.23333599,141,2.29952721,145,2.23609197,11.56299841,,,,,3,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",18-24,19488,22292,1.14388342,INR,314.65,158,1.9914557,224,1.4046875,1.00484479,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,25-34,330,532,1.61212121,INR,291.52,48,6.07333333,57,5.11438596,10.71428571,8,36.44,4,72.88,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",25-34,877,1134,1.29304447,INR,275.97824806,17,16.23401459,22,12.54446582,1.94003527,,,4,68.99456202,3,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",65+,888,1126,1.26801802,INR,271.80632877,154,1.76497616,154,1.76497616,13.67673179,,,,,4,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",35-44,1445,1556,1.07681661,INR,268.38345862,43,6.24147578,50,5.36766917,3.21336761,,,,,5,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",25-34,19299,20796,1.07756879,INR,263.20419735,208,1.26540479,200,1.31602099,0.96172341,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",45-54,736,1272,1.72826087,INR,257.21933671,107,2.40391903,127,2.02534911,9.98427673,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",65+,4096,4710,1.14990234,INR,201.72168541,388,0.51990125,380,0.53084654,8.06794055,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",55-64,9637,14879,1.54394521,INR,196.79131608,468,0.42049427,450,0.43731404,3.0243968,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",35-44,912,1077,1.18092105,INR,193.6824243,33,5.86916437,48,4.03505051,4.45682451,,,,,4,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,35-44,528,618,1.17045455,INR,186.60126289,20,9.33006314,29,6.43452631,4.69255663,1,186.60126289,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",45-54,713,759,1.06451613,INR,152.69177312,21,7.27103682,22,6.94053514,2.89855072,,,,,2,2025-02-01,2025-08-04
"Add to Cart_28/06",55-64,288,513,1.78125,INR,151.88732325,74,2.0525314,83,1.82996775,16.17933723,9,16.87636925,2,75.94366163,1,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",35-44,298,383,1.2852349,INR,136.97475531,6,22.82912589,8,17.12184441,2.08877285,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",65+,7324,10989,1.50040961,INR,130.79888598,323,0.40495011,313,0.41788781,2.84830285,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,35-44,122,204,1.67213115,INR,120.87,24,5.03625,27,4.47666667,13.23529412,3,40.29,3,40.29,2,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",35-44,2664,2722,1.02177177,INR,113.57,26,4.36807692,41,2.77,1.50624541,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",65+,416,532,1.27884615,INR,102.78172259,59,1.74206309,61,1.68494627,11.46616541,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",18-24,747,899,1.20348059,INR,102.4162624,4,25.6040656,4,25.6040656,0.44493882,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,45-54,244,262,1.07377049,INR,97.42632266,8,12.17829033,11,8.85693842,4.19847328,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",35-44,4065,5378,1.32300123,INR,91.64190677,67,1.36778965,64,1.43190479,1.19003347,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",55-64,328,398,1.21341463,INR,77.43854696,26,2.97840565,34,2.27760432,8.54271357,,,,,4,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",18-24,265,313,1.18113208,INR,74.12690243,25,2.9650761,27,2.74544083,8.62619808,2,37.06345122,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",25-34,285,313,1.09824561,INR,67.84653856,36,1.88462607,35,1.93847253,11.18210863,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",65+,440,470,1.06818182,INR,65.89042967,25,2.63561719,29,2.27208378,6.17021277,,,,,1,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,55-64,128,128,1,INR,58.39978421,6,9.73329737,9,6.48886491,7.03125,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,65+,45,50,1.11111111,INR,57.34,28,2.04785714,27,2.1237037,54,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,55-64,36,49,1.36111111,INR,54.36,28,1.94142857,29,1.87448276,59.18367347,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",18-24,294,338,1.14965986,INR,53.47323034,28,1.90975823,29,1.84390449,8.57988166,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,65+,92,101,1.09782609,INR,49.08822417,3,16.36274139,2,24.54411208,1.98019802,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",45-54,110,121,1.1,INR,46.81086779,,,0,0,0,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",65+,95,104,1.09473684,INR,46.4974193,31,1.49991675,30,1.54991398,28.84615385,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",55-64,56,62,1.10714286,INR,42.73340535,,,0,0,0,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",25-34,183,208,1.13661202,INR,41.52953185,29,1.43205282,32,1.29779787,15.38461538,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",35-44,165,182,1.1030303,INR,38.63726199,35,1.10392177,36,1.07325728,19.78021978,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",45-54,1344,1401,1.04241071,INR,38.43,10,3.843,14,2.745,0.99928622,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",45-54,155,160,1.03225806,INR,37.94841246,43,0.88252122,44,0.86246392,27.5,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",35-44,137,159,1.16058394,INR,35.84907873,24,1.49371161,24,1.49371161,15.09433962,3,11.94969291,1,35.84907873,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",45-54,116,134,1.15517241,INR,29.56189633,2,14.78094817,2,14.78094817,1.49253731,,,,,1,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",45-54,1376,1939,1.40915698,INR,27.64359165,21,1.31636151,21,1.31636151,1.08303249,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",65+,80,84,1.05,INR,26.85485054,29,0.92602933,28,0.95910181,33.33333333,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",65+,872,1029,1.18004587,INR,26.59,15,1.77266667,16,1.661875,1.55490768,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,45-54,31,40,1.29032258,INR,26.41,13,2.03153846,13,2.03153846,32.5,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",55-64,1016,1234,1.21456693,INR,25.47,8,3.18375,8,3.18375,0.64829822,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",55-64,94,105,1.11702128,INR,25.05019611,24,1.04375817,21,1.19286648,20,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",45-54,118,128,1.08474576,INR,24.12687157,24,1.00528632,24,1.00528632,18.75,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",55-64,98,105,1.07142857,INR,20.8197061,34,0.6123443,34,0.6123443,32.38095238,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",65+,1600,1821,1.138125,INR,16.59215577,14,1.18515398,14,1.18515398,0.76880835,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",55-64,701,701,1,INR,11.22145797,8,1.40268225,8,1.40268225,1.14122682,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",18-24,224,248,1.10714286,INR,8.49,3,2.83,4,2.1225,1.61290323,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",65+,37,40,1.08108108,INR,5.6864611,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",25-34,92,101,1.09782609,INR,5.41,3,1.80333333,4,1.3525,3.96039604,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",65+,26,37,1.42307692,INR,5.24033616,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",55-64,24,31,1.29166667,INR,3.68023608,3,1.22674536,3,1.22674536,9.67741935,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",65+,6,6,1,INR,0.24,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",35-44,6,7,1.16666667,INR,0.16,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",45-54,6,7,1.16666667,INR,0.16,1,0.16,1,0.16,14.28571429,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",55-64,6,6,1,INR,0.09,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Unknown,0,0,0,INR,0,,,0,0,0,,,,,1,2025-02-01,2025-08-04
