"Campaign name","Device platform",Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
,,635043,878310,1.3830717,INR,33246,39581,0.83994846,40051,0.83009163,4.56000729,128,259.734375,69,481.82608696,3437,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",mobile_app,231997,341562,1.47226904,INR,4372.64675974,10713,0.40816268,10239,0.42705799,2.99769881,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",mobile_app,121616,141361,1.16235528,INR,1231.4099935,1010,1.21921782,994,1.23884305,0.70316424,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",mobile_app,83344,121533,1.45820935,INR,6422.96979596,16286,0.39438596,16040,0.40043453,13.19806143,,,,,3262,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",mobile_app,94321,108482,1.15013624,INR,3863.67000388,7303,0.52905244,7233,0.53417254,6.66746557,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",mobile_app,37080,42147,1.13665049,INR,905.48,309,2.93035599,452,2.00327434,1.07243695,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",mobile_app,22531,38182,1.69464294,INR,4924.48165338,1308,3.76489423,1950,2.52537521,5.10711854,75,65.65975538,55,89.53603006,5,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",mobile_app,29506,36605,1.24059513,INR,4844.9375589,1334,3.63188723,1471,3.29363532,4.0185767,14,346.06696849,,,111,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",mobile_app,13931,14784,1.06123035,INR,1405.27154768,252,5.5764744,345,4.07325086,2.3336039,1,1405.27154768,,,22,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,mobile_app,10958,13123,1.19757255,INR,1597.12758034,174,9.17889414,308,5.18547916,2.34702431,8,199.64094754,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",mobile_app,9199,10548,1.14664637,INR,1235.73926995,237,5.21408975,306,4.03836363,2.90102389,2,617.86963498,,,22,2025-02-01,2025-08-04
"Add to Cart_28/06",desktop,1064,1808,1.69924812,INR,214.56447179,34,6.31071976,51,4.20714651,2.82079646,5,42.91289436,1,214.56447179,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,mobile_app,1048,1596,1.52290076,INR,847.21,189,4.48259259,209,4.05363636,13.0952381,14,60.515,8,105.90125,2,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",mobile_app,1355,1484,1.09520295,INR,530.65974991,24,22.11082291,30,17.68865833,2.02156334,,,4,132.66493748,3,2025-02-01,2025-08-04
