"Campaign name",Region,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
,,635040,878306,1.38307193,INR,33245.34,39581,0.83993179,40048,0.83013734,4.55968649,128,259.72921875,69,481.81652174,3437,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Uttar Pradesh",45680,67641,1.48075744,INR,860.26348913,2030,0.42377512,1937,0.44412157,2.86364779,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Maharashtra,3120,4075,1.30608974,INR,827.48059842,165,5.01503393,206,4.01689611,5.05521472,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Kerala,7489,12727,1.69942582,INR,810.64803121,2089,0.38805554,2034,0.39854869,15.98177104,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Maharashtra,2808,5091,1.81303419,INR,790.42015003,172,4.59546599,293,2.69767969,5.75525437,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","West Bengal",11666,16023,1.37347848,INR,788.40643902,2020,0.39030022,2020,0.39030022,12.60687761,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","West Bengal",18736,21480,1.14645602,INR,694.43040065,1390,0.49959022,1413,0.49145817,6.57821229,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Uttar Pradesh",9410,12726,1.35239107,INR,655.64693527,1742,0.37637597,1731,0.37876773,13.60207449,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","West Bengal",2528,4735,1.87302215,INR,643.03334007,134,4.79875627,200,3.2151667,4.22386484,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Uttar Pradesh",4456,5101,1.14474865,INR,585.18821439,182,3.21531986,196,2.98565416,3.84238385,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Uttar Pradesh",3184,4830,1.5169598,INR,533.6408635,171,3.1207068,240,2.2235036,4.9689441,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","West Bengal",2784,3880,1.39367816,INR,498.46662346,108,4.6154317,129,3.86408235,3.32474227,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Maharashtra,5393,8134,1.50825144,INR,458.71283751,1147,0.39992401,1128,0.40666032,13.86771576,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Uttar Pradesh",12176,13274,1.0901774,INR,436.81041669,803,0.54397312,797,0.54806828,6.00421877,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Bihar,19917,31571,1.58512828,INR,403.27143853,933,0.43223091,897,0.44957797,2.84121504,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Gujarat,1888,3270,1.73199153,INR,392.34474821,92,4.26461683,164,2.39234603,5.01529052,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Maharashtra,2088,2577,1.2341954,INR,375.93298324,44,8.54393144,79,4.75864536,3.06558013,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Gujarat,4657,6898,1.48121108,INR,362.23593109,909,0.39849937,884,0.40976915,12.81530879,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Maharashtra,17925,25406,1.41735007,INR,357.94310168,897,0.39904471,856,0.41815783,3.36928285,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Delhi,1440,2782,1.93194444,INR,356.46065551,75,4.75280874,126,2.82905282,4.52911574,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Assam,5201,7361,1.41530475,INR,348.12492094,844,0.41247029,825,0.4219696,11.20771634,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Gujarat,2352,3040,1.29251701,INR,332.9445003,95,3.50467895,100,3.329445,3.28947368,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Karnataka,1008,1692,1.67857143,INR,303.38460201,48,6.32051254,90,3.37094002,5.31914894,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Bihar,8752,10348,1.18235832,INR,301.35300545,573,0.52592148,572,0.52684092,5.52763819,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Karnataka,776,1183,1.52448454,INR,296.54963588,44,6.73976445,56,5.29552921,4.73372781,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Assam,7872,9142,1.1613313,INR,292.49644384,567,0.51586674,558,0.52418718,6.10369722,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Tamil Nadu",11693,16036,1.3714188,INR,291.48834264,661,0.44098085,634,0.45976079,3.95360439,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Bihar,4321,5458,1.26313353,INR,272.13948143,674,0.40376778,661,0.41170875,12.11066325,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Punjab region",11115,17799,1.60134953,INR,272.1107299,590,0.46120463,560,0.48591202,3.14624417,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Punjab region",3249,5012,1.5426285,INR,264.61894306,716,0.36957953,713,0.37113456,14.22585794,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Tamil Nadu",2609,4624,1.77232656,INR,264.39892731,674,0.39228327,661,0.39999838,14.2949827,,,,,,2025-02-01,2025-08-04
